x,cloudletId,startTime,finishTime,cost
108,3.0,0.1,160.1,760.0
108,13.0,0.1,160.1,760.0
108,8.0,0.1,160.1,760.0
108,9.0,0.1,160.1,760.0
108,6.0,0.1,160.1,760.0
108,7.0,0.1,160.1,760.0
78,0.0,0.1,160.1,760.0
78,10.0,0.1,160.1,760.0
78,1.0,0.1,160.1,760.0
78,11.0,0.1,160.1,760.0
78,8.0,0.1,160.1,760.0
78,9.0,0.1,160.1,760.0
78,6.0,0.1,160.1,760.0
78,7.0,0.1,160.1,760.0
78,4.0,0.1,160.1,760.0
78,14.0,0.1,160.1,760.0
78,5.0,0.1,160.1,760.0
78,15.0,0.1,160.1,760.0
78,2.0,0.1,160.1,760.0
78,12.0,0.1,160.1,760.0
78,3.0,0.1,160.1,760.0
78,13.0,0.1,160.1,760.0
158,5.0,0.1,160.1,760.0
158,15.0,0.1,160.1,760.0
158,4.0,0.1,160.1,760.0
158,14.0,0.1,160.1,760.0
158,3.0,0.1,160.1,760.0
158,13.0,0.1,160.1,760.0
158,2.0,0.1,160.1,760.0
158,12.0,0.1,160.1,760.0
158,9.0,0.1,160.1,760.0
158,8.0,0.1,160.1,760.0
158,7.0,0.1,160.1,760.0
158,6.0,0.1,160.1,760.0
158,1.0,0.1,160.1,760.0
158,11.0,0.1,160.1,760.0
158,0.0,0.1,160.1,760.0
158,10.0,0.1,160.1,760.0
