x,cloudletId,startTime,finishTime,cost
2000,0.0,0.0,160.0,76.0
2000,3.0,0.0,160.0,76.0
2000,5.0,0.0,160.0,76.0
2000,7.0,0.0,160.0,76.0
2000,9.0,0.0,160.0,76.0
2000,11.0,0.0,160.0,76.0
2000,13.0,0.0,160.0,76.0
2000,15.0,0.0,160.0,76.0
2000,17.0,0.0,160.0,76.0
2000,19.0,0.0,160.0,76.0
2000,21.0,0.0,160.0,76.0
2000,23.0,0.0,160.0,76.0
2000,25.0,0.0,160.0,76.0
2000,27.0,0.0,160.0,76.0
2000,29.0,0.0,160.0,76.0
2000,31.0,0.0,160.0,76.0
2000,33.0,0.0,160.0,76.0
2000,35.0,0.0,160.0,76.0
2000,37.0,0.0,160.0,76.0
2000,39.0,0.0,160.0,76.0
2000,41.0,0.0,160.0,76.0
2000,43.0,0.0,160.0,76.0
2000,45.0,0.0,160.0,76.0
2000,47.0,0.0,160.0,76.0
2000,49.0,0.0,160.0,76.0
2000,51.0,0.0,160.0,76.0
2000,53.0,0.0,160.0,76.0
2000,55.0,0.0,160.0,76.0
2000,57.0,0.0,160.0,76.0
2000,59.0,0.0,160.0,76.0
2000,61.0,0.0,160.0,76.0
2000,63.0,0.0,160.0,76.0
2000,65.0,0.0,160.0,76.0
2000,67.0,0.0,160.0,76.0
2000,1.0,0.0,160.0,76.0
2000,2.0,0.0,160.0,76.0
2000,4.0,0.0,160.0,76.0
2000,6.0,0.0,160.0,76.0
2000,8.0,0.0,160.0,76.0
2000,10.0,0.0,160.0,76.0
2000,12.0,0.0,160.0,76.0
2000,14.0,0.0,160.0,76.0
2000,16.0,0.0,160.0,76.0
2000,18.0,0.0,160.0,76.0
2000,20.0,0.0,160.0,76.0
2000,22.0,0.0,160.0,76.0
2000,24.0,0.0,160.0,76.0
2000,26.0,0.0,160.0,76.0
2000,28.0,0.0,160.0,76.0
2000,30.0,0.0,160.0,76.0
2000,32.0,0.0,160.0,76.0
2000,34.0,0.0,160.0,76.0
2000,36.0,0.0,160.0,76.0
2000,38.0,0.0,160.0,76.0
2000,40.0,0.0,160.0,76.0
2000,42.0,0.0,160.0,76.0
2000,44.0,0.0,160.0,76.0
2000,46.0,0.0,160.0,76.0
2000,48.0,0.0,160.0,76.0
2000,50.0,0.0,160.0,76.0
2000,52.0,0.0,160.0,76.0
2000,54.0,0.0,160.0,76.0
2000,56.0,0.0,160.0,76.0
2000,58.0,0.0,160.0,76.0
2000,60.0,0.0,160.0,76.0
2000,62.0,0.0,160.0,76.0
2000,64.0,0.0,160.0,76.0
2000,66.0,0.0,160.0,76.0
4000,19.0,0.0,160.0,76.0
4000,21.0,0.0,160.0,76.0
4000,23.0,0.0,160.0,76.0
4000,25.0,0.0,160.0,76.0
4000,27.0,0.0,160.0,76.0
4000,29.0,0.0,160.0,76.0
4000,31.0,0.0,160.0,76.0
4000,33.0,0.0,160.0,76.0
4000,35.0,0.0,160.0,76.0
4000,37.0,0.0,160.0,76.0
4000,39.0,0.0,160.0,76.0
4000,41.0,0.0,160.0,76.0
4000,43.0,0.0,160.0,76.0
4000,45.0,0.0,160.0,76.0
4000,47.0,0.0,160.0,76.0
4000,49.0,0.0,160.0,76.0
4000,18.0,0.0,160.0,76.0
4000,20.0,0.0,160.0,76.0
4000,22.0,0.0,160.0,76.0
4000,24.0,0.0,160.0,76.0
4000,26.0,0.0,160.0,76.0
4000,28.0,0.0,160.0,76.0
4000,30.0,0.0,160.0,76.0
4000,32.0,0.0,160.0,76.0
4000,34.0,0.0,160.0,76.0
4000,36.0,0.0,160.0,76.0
